Containment_zones,ward,no,pin,address
"RC 3547 400066 Vipin Chs,Daulat Nagar Road No. 7,,Borivali East",RC,3547,400066,"Vipin Chs,Daulat Nagar Road No. 7,,Borivali East"
"RC 3548 400066 Sai Shrushthi Chs,Abhinav Nagar,,Borivali East",RC,3548,400066,"Sai Shrushthi Chs,Abhinav Nagar,,Borivali East"
"RC 3549 400066 Maru Nivas Chs,Carte Road No.7,,Borivali East",RC,3549,400066,"Maru Nivas Chs,Carte Road No.7,,Borivali East"
"RC 3550 400066 New Transit Cmap,,,Borivali East",RC,3550,400066,"New Transit Cmap,,,Borivali East"
"RC 3551 400066 Prathmesh Vihar Thakur Chs,,,Kandivali East",RC,3551,400066,"Prathmesh Vihar Thakur Chs,,,Kandivali East"
"RC 3552 400066 Om Siddhi Vinayak Chs,90 Feet Road,,Kandivali East",RC,3552,400066,"Om Siddhi Vinayak Chs,90 Feet Road,,Kandivali East"
"RC 3553 400066 Ektabhumi Garden Chs,Rajendra Nagar Road,,Borivali East",RC,3553,400066,"Ektabhumi Garden Chs,Rajendra Nagar Road,,Borivali East"
"RC 3554 400066 Burlington Cout,,N,Borivali East",RC,3554,400066,"Burlington Cout,,N,Borivali East"
"RC 3555 400066 Siddharth Nagar Chs,,Opp Western Ecpress Highway,Borivali East",RC,3555,400066,"Siddharth Nagar Chs,,Opp Western Ecpress Highway,Borivali East"
"RC 3556 400066 Jauhind Chs,Charkop Sec 8,,Kandivali West",RC,3556,400066,"Jauhind Chs,Charkop Sec 8,,Kandivali West"
"RC 3557 400066 Sangam Chwal Bhandari,,Ganesh Chowk,Kandivali West",RC,3557,400066,"Sangam Chwal Bhandari,,Ganesh Chowk,Kandivali West"
"RC 3558 400066 Geetangali Chs,Sv Road,,Borivali East",RC,3558,400066,"Geetangali Chs,Sv Road,,Borivali East"
"RC 3559 400066 Surya Darshan Chs,Carter Road No.3,Near Jain Dughalaya,Borivali East",RC,3559,400066,"Surya Darshan Chs,Carter Road No.3,Near Jain Dughalaya,Borivali East"
"RC 3560 400066 Krishna Tower,Cater Road No.4,,Borivali East",RC,3560,400066,"Krishna Tower,Cater Road No.4,,Borivali East"
"RC 3561 400066 Adahar Old Age Home,Daulat Nagar Road No.10,Behind Hinduja Hall,Borivali East",RC,3561,400066,"Adahar Old Age Home,Daulat Nagar Road No.10,Behind Hinduja Hall,Borivali East"
"RC 3562 400066 Swayumbhu Gao Devi Chs,Chinchpada Road,Near Shatabdi Hospital,Borivali East",RC,3562,400066,"Swayumbhu Gao Devi Chs,Chinchpada Road,Near Shatabdi Hospital,Borivali East"
"RC 3563 400066 Borivali Sub Staff Quaters,,Near Bank Of India,Borivali East",RC,3563,400066,"Borivali Sub Staff Quaters,,Near Bank Of India,Borivali East"
"RC 3564 400066 Maa Enchore Chs,Daulat Nagar Road,Opp Purnima Chs,Borivali East",RC,3564,400066,"Maa Enchore Chs,Daulat Nagar Road,Opp Purnima Chs,Borivali East"
"RC 3565 400066 Ekat Bhoomi Garden Chd,Dattapada Road,,Borivali East",RC,3565,400066,"Ekat Bhoomi Garden Chd,Dattapada Road,,Borivali East"
"RC 3566 400066 New Transit Camp,Rajendra Nagar Road,Rajendra Nagar,Borivali East",RC,3566,400066,"New Transit Camp,Rajendra Nagar Road,Rajendra Nagar,Borivali East"
